Word,Emotion,Figurative,Physical,Emotion_sticky,Figurative_sticky,Physical_sticky
Hooch,,,1,,,
told,,,,,,
us,,,,,,
not,,,,,,
to,,,,,,
move,,,,,,
--,,,,,,
you'll,,,,,,
get,,,,,,
us,,,,,,
all,,,,,,
into,,,,,,
"trouble.""",,,,,,
,,,,,,
Harry,,,1,,,
ignored,,,,,,
her.,,,,,,
Blood,,,1,,,
was,,,,,,
pounding,,,,,,
in,,,,,,
his,,,,,,
ears.,,,1,,,
He,,,,,,
mounted,,,,,,
the,,,,,,
broom,,,1,,,
and,,,,,,
kicked,,,,,,
hard,,,,,,
against,,,,,,
the,,,,,,
ground,,,1,,,
and,,,,,,
"up,",,,,,,
up,,,,,,
he,,,,,,
soared;,,,,,,
air,,,,,,
rushed,,,,,,
through,,,,,,
his,,,,,,
"hair,",,,1,,,
and,,,,,,
his,,,,,,
robes,,,1,,,
whipped,,1,,,,
out,,,,,,
behind,,,,,,
him,,,,,,
--,,,,,,
and,,,,,,
in,,,,,,
a,,,,,,
rush,,,,,,
of,,,,,,
fierce,1,,,,,
joy,1,,,,,
he,,,,,,
realized,,,,,,
he'd,,,,,,
found,,,,,,
something,,,,,,
he,,,,,,
could,,,,,,
do,,,,,,
without,,,,,,
being,,,,,,
taught,,,,,,
--,,,,,,
this,,,,,,
was,,,,,,
"easy,",,,,,,
this,,,,,,
was,,,,,,
wonderful.,1,,,,,
He,,,,,,
pulled,,,,,,
his,,,,,,
broomstick,,,1,,,
up,,,,,,
a,,,,,,
little,,,,,,
to,,,,,,
take,,,,,,
it,,,,,,
even,,,,,,
"higher,",,,,,,
and,,,,,,
heard,,,,,,
screams,1,,,,,
and,,,,,,
gasps,1,,,,,
of,,,,,,
girls,,,1,,,
back,,,,,,
on,,,,,,
the,,,,,,
